Presentation_id,no_of_bullet_perslide,is_diff_bullet_topic&subtopic,number_of_types_bullets,is_transitions_present,contrast_text_background,is_title_content_color_different,number_of_colors_for_contents,is_complete(long)_sentence,is_capital_words,empty_space_around_text_sufficient,image_quality,empty_space_around_image_sufficient,number_of_images_per_slide,is_font_readable,is_title_font_same_across,is_italic_font_used,number_of_font_types,is_patterned_backgrounds,is_abbreviations and acronyms_present,is_paragraph_present,is_hyperlinks_present,is_non_linear_navigation_present,"is_special_characters like @,*,&,?, /, “ ”,’ ’ etc_present","is_header or footer for –presenter name, page number, date etc_present",output
1,2,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,2,0,0,1,0,0,0,0,3
2,3,0,2,0,1,0,1,1,0,0,1,0,1,1,1,0,5,0,0,1,0,0,0,0,4
3,3,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,2,0,0,1,0,0,0,1,1
6,5,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1
10,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,3,1,0,1,0,0,0,0,4
11,4,0,3,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,3
13,4,0,3,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,3
14,3,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,3
16,4,1,3,0,1,0,1,1,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,4
17,3,0,2,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,3
18,2,0,1,0,1,1,1,1,0,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,3
19,5,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,4
20,5,0,1,0,1,1,1,1,0,1,1,1,4,1,1,0,2,0,0,1,0,0,0,0,4
21,5,1,2,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,2
22,3,0,1,0,1,0,3,1,0,0,1,1,1,0,1,0,2,0,0,1,0,0,0,0,4
23,8,0,3,1,1,0,1,1,0,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,4
24,7,1,2,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,3
25,4,0,1,0,1,0,1,1,0,1,1,1,2,1,1,0,1,0,0,1,0,0,0,1,2
26,5,1,2,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2
27,4,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
28,3,1,2,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2
29,4,1,2,0,1,1,2,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,1,1
30,5,1,2,0,1,0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
32,4,0,1,0,1,0,1,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,1,3
33,4,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,2
38,5,1,2,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,2
